Year,Tournamment,Team,Player,G,W,L,WR,K,D,A,KDA,CS,CS/M,G.1,G/M,KPAR,KS,GS,CP,Champs,total_games,max_G/M,max_CS/M,max_KDA,max_KPAR
2019,Summer_Season,GAM Esports,Kiaya,27,19,8,70.4,3.78,2.48,6.0,3.94,271.37,8.36,13.2,408.0,54.3,21.0,21.5,11,"Renekton, Aatrox, Irelia",135,489.0,10.28,7.0,75.0
2019,Summer_Season,GAM Esports,Yoshino,18,16,2,88.9,5.5,2.78,6.78,4.42,271.78,8.53,14.3,450.0,65.2,29.2,23.4,10,"Irelia, Camille, Fiora",135,489.0,10.28,7.0,75.0
2019,Summer_Season,GAM Esports,Hieu3,17,10,7,58.8,3.76,2.47,6.94,4.33,245.88,7.9,12.1,388.0,65.0,22.9,20.9,9,"Neeko, Kai'Sa, Heimerdinger",135,489.0,10.28,7.0,75.0
2019,Summer_Season,GAM Esports,Zin,14,13,1,92.9,3.86,1.43,6.14,7.0,292.5,8.44,14.1,408.0,49.5,19.1,20.9,8,"Ezreal, Vladimir, Lucian",135,489.0,10.28,7.0,75.0
2019,Summer_Season,GAM Esports,Zeros,14,11,3,78.6,4.14,3.07,6.0,3.3,320.43,9.51,15.1,448.0,54.4,22.2,23.4,7,"Renekton, Akali, Irelia",135,489.0,10.28,7.0,75.0
2019,Summer_Season,GAM Esports,Minas,3,0,3,0.0,3.0,3.0,5.33,2.78,355.67,9.94,15.2,424.0,62.5,22.5,24.3,2,"Sivir, Kai'Sa",135,489.0,10.28,7.0,75.0
2019,Summer_Season,Lowkey Esports.Vietnam,Artifact,32,20,12,62.5,3.88,2.69,5.38,3.44,257.38,8.49,12.6,416.0,62.7,26.3,22.7,14,"Irelia, Azir, Corki",135,489.0,10.28,7.0,75.0
2019,Summer_Season,Lowkey Esports.Vietnam,Celebrity,32,20,12,62.5,3.69,2.06,5.13,4.27,284.41,9.38,13.6,448.0,59.7,25.0,24.5,10,"Xayah, Ezreal, Caitlyn",135,489.0,10.28,7.0,75.0
2019,Summer_Season,Lowkey Esports.Vietnam,Venus,32,20,12,62.5,1.06,2.75,8.16,3.35,31.38,1.03,7.7,254.0,62.5,7.2,13.9,11,"Nautilus, Lux, Rakan",135,489.0,10.28,7.0,75.0
2019,Summer_Season,Lowkey Esports.Vietnam,DNK,31,20,11,64.5,3.77,2.35,6.13,4.21,157.94,5.18,10.9,356.0,67.2,25.6,19.4,10,"Gragas, Sylas, Nidalee",135,489.0,10.28,7.0,75.0
2019,Summer_Season,Lowkey Esports.Vietnam,Hani,31,19,12,61.3,2.16,2.32,4.58,2.9,214.42,7.09,10.7,353.0,46.7,15.0,19.3,12,"Neeko, Renekton, Aatrox",135,489.0,10.28,7.0,75.0
2019,Summer_Season,Lowkey Esports.Vietnam,KingJ,1,1,0,100.0,10.0,4.0,8.0,4.5,264.0,8.01,16.1,489.0,75.0,41.7,24.1,1,Camille,135,489.0,10.28,7.0,75.0
2019,Summer_Season,Lowkey Esports.Vietnam,Kaiz,1,0,1,0.0,2.0,8.0,8.0,1.25,101.0,3.95,7.8,307.0,66.7,13.3,18.6,1,Trundle,135,489.0,10.28,7.0,75.0
2019,Summer_Season,QTV Gaming,Genza,33,12,21,36.4,2.94,3.03,4.24,2.37,306.85,9.41,13.5,415.0,67.9,27.8,23.2,12,"Neeko, Corki, Irelia",135,489.0,10.28,7.0,75.0
2019,Summer_Season,QTV Gaming,Jisoo,33,12,21,36.4,2.97,2.42,3.82,2.8,313.79,9.62,13.9,427.0,64.2,28.1,23.9,8,"Kai'Sa, Xayah, Lucian",135,489.0,10.28,7.0,75.0
2019,Summer_Season,QTV Gaming,Zodiac,33,12,21,36.4,0.36,2.58,7.0,2.86,37.12,1.14,8.0,245.0,69.6,3.4,13.7,9,"Braum, Yuumi, Karma",135,489.0,10.28,7.0,75.0
2019,Summer_Season,QTV Gaming,Ciel,31,11,20,35.5,2.16,3.06,5.74,2.58,151.71,4.63,10.2,311.0,73.8,20.2,17.4,6,"Jarvan IV, Sejuani, Rek'Sai",135,489.0,10.28,7.0,75.0
2019,Summer_Season,QTV Gaming,Hiro,25,10,15,40.0,2.48,3.4,2.88,1.58,289.04,8.99,12.8,397.0,51.3,23.8,22.1,7,"Aatrox, Irelia, Camille",135,489.0,10.28,7.0,75.0
2019,Summer_Season,QTV Gaming,Nevan,10,3,7,30.0,1.3,3.2,4.1,1.69,249.0,7.5,11.9,359.0,51.4,12.4,20.3,9,"Gnar, Karma, Kled",135,489.0,10.28,7.0,75.0
2019,Summer_Season,Team Flash.Vietnam,Optimus,38,23,15,60.5,3.16,2.42,4.76,3.27,256.39,8.68,11.9,404.0,54.8,21.9,21.3,16,"Corki, Azir, Syndra",135,489.0,10.28,7.0,75.0
2019,Summer_Season,Team Flash.Vietnam,CBL,38,23,15,60.5,0.89,2.58,8.61,3.68,30.74,1.04,7.4,252.0,65.8,6.2,13.3,12,"Thresh, Lux, Yuumi",135,489.0,10.28,7.0,75.0
2019,Summer_Season,Team Flash.Vietnam,Yijin,38,23,15,60.5,3.21,2.87,6.76,3.48,162.29,5.5,10.7,364.0,69.0,22.2,19.2,10,"Gragas, Sylas, Lee Sin",135,489.0,10.28,7.0,75.0
2019,Summer_Season,Team Flash.Vietnam,Slayder,33,20,13,60.6,4.88,1.76,4.27,5.21,301.18,10.21,14.2,480.0,62.7,33.4,25.3,7,"Kai'Sa, Xayah, Ezreal",135,489.0,10.28,7.0,75.0
2019,Summer_Season,Team Flash.Vietnam,Taurus,19,12,7,63.2,2.42,2.58,4.63,2.73,231.21,8.11,11.1,388.0,50.8,17.4,20.7,7,"Jayce, Rumble, Irelia",135,489.0,10.28,7.0,75.0
2019,Summer_Season,Team Flash.Vietnam,Stark,19,11,8,57.9,2.68,2.32,4.05,2.91,262.11,8.59,12.5,409.0,44.9,17.9,21.4,7,"Aatrox, Camille, Jayce",135,489.0,10.28,7.0,75.0
2019,Summer_Season,Team Flash.Vietnam,Artemis,5,3,2,60.0,3.0,2.2,4.2,3.27,305.2,10.28,13.4,452.0,53.7,22.4,24.4,3,"Lucian, Ezreal, Kai'Sa",135,489.0,10.28,7.0,75.0
2019,Summer_Playoffs,Dashing Buffalo,Bigkoro,7,1,6,14.3,2.86,2.57,3.43,2.44,306.57,9.54,13.8,428.0,57.9,26.3,24.9,3,"Xayah, Kai'Sa, Varus",17,514.0,9.83,10.5,77.0
2019,Summer_Playoffs,Dashing Buffalo,Raizo,7,1,6,14.3,2.71,4.0,3.43,1.54,252.14,7.84,12.0,372.0,56.6,25.0,21.7,4,"Irelia, Aatrox, Kennen",17,514.0,9.83,10.5,77.0
2019,Summer_Playoffs,Dashing Buffalo,Naul,7,1,6,14.3,2.71,2.57,5.0,3.0,258.29,8.03,11.7,363.0,71.1,25.0,21.2,4,"Karma, LeBlanc, Lissandra",17,514.0,9.83,10.5,77.0
2019,Summer_Playoffs,Dashing Buffalo,Palette,7,1,6,14.3,0.86,3.43,6.29,2.08,40.71,1.27,7.9,245.0,65.8,7.9,14.3,3,"Rakan, Volibear, Braum",17,514.0,9.83,10.5,77.0
2019,Summer_Playoffs,Dashing Buffalo,Xuhao,4,1,3,25.0,1.25,5.0,7.5,1.75,139.0,4.01,10.3,296.0,72.9,10.4,17.1,4,"Kindred, Gragas, Skarner",17,514.0,9.83,10.5,77.0
2019,Summer_Playoffs,Dashing Buffalo,Meliodas,3,0,3,0.0,2.33,3.67,3.33,1.55,143.0,4.97,9.4,325.0,60.7,25.0,19.2,2,"Lee Sin, Rek'Sai",17,514.0,9.83,10.5,77.0
2019,Summer_Playoffs,GAM Esports,Kiaya,6,6,0,100.0,4.83,2.67,10.17,5.63,235.5,7.71,13.0,426.0,54.2,17.5,20.5,3,"Kled, Renekton, Tristana",17,514.0,9.83,10.5,77.0
2019,Summer_Playoffs,GAM Esports,Levi,6,6,0,100.0,6.83,2.0,11.33,9.08,198.17,6.49,13.3,435.0,65.7,24.7,20.9,4,"Gragas, Sylas, Lee Sin",17,514.0,9.83,10.5,77.0
2019,Summer_Playoffs,GAM Esports,Zeros,6,6,0,100.0,8.17,2.67,7.0,5.69,300.17,9.83,15.7,514.0,54.8,29.5,24.7,5,"Renekton, Akali, Jax",17,514.0,9.83,10.5,77.0
2019,Summer_Playoffs,GAM Esports,Zin,6,6,0,100.0,5.83,3.0,7.5,4.44,205.17,6.72,12.1,396.0,48.2,21.1,19.0,3,"Garen, Vladimir, Tristana",17,514.0,9.83,10.5,77.0
2019,Summer_Playoffs,GAM Esports,Hieu3,3,3,0,100.0,1.0,1.67,11.67,7.6,67.33,2.09,9.5,295.0,53.5,4.2,14.1,2,"Yuumi, Volibear",17,514.0,9.83,10.5,77.0
2019,Summer_Playoffs,GAM Esports,Slay,3,3,0,100.0,3.0,2.0,18.0,10.5,55.33,1.92,9.4,327.0,66.3,9.5,15.7,2,"Volibear, Yuumi",17,514.0,9.83,10.5,77.0
2019,Summer_Playoffs,Lowkey Esports.Vietnam,Artifact,10,6,4,60.0,4.3,3.2,6.5,3.38,235.3,8.04,12.0,409.0,67.9,27.0,21.9,8,"Yasuo, Qiyana, Jayce",17,514.0,9.83,10.5,77.0
2019,Summer_Playoffs,Lowkey Esports.Vietnam,Celebrity,10,6,4,60.0,3.8,3.1,6.5,3.32,263.7,9.01,13.2,450.0,64.8,23.9,24.0,5,"Caitlyn, Tristana, Varus",17,514.0,9.83,10.5,77.0
2019,Summer_Playoffs,Lowkey Esports.Vietnam,DNK,10,6,4,60.0,3.8,3.0,7.8,3.87,143.6,4.9,10.6,362.0,73.0,23.9,19.4,5,"Sylas, Gragas, Olaf",17,514.0,9.83,10.5,77.0
2019,Summer_Playoffs,Lowkey Esports.Vietnam,Hani,10,6,4,60.0,2.5,3.5,4.7,2.06,216.4,7.39,11.0,376.0,45.3,15.7,20.1,8,"Camille, Kled, Irelia",17,514.0,9.83,10.5,77.0
2019,Summer_Playoffs,Lowkey Esports.Vietnam,Venus,10,6,4,60.0,1.5,3.1,10.3,3.81,32.0,1.09,8.0,272.0,74.2,9.4,14.6,6,"Morgana, Pyke, Nautilus",17,514.0,9.83,10.5,77.0
2019,Summer_Playoffs,Team Flash.Vietnam,Optimus,11,4,7,36.4,2.09,3.18,6.73,2.77,262.09,8.16,12.2,379.0,65.5,15.5,20.9,6,"Syndra, Karma, Neeko",17,514.0,9.83,10.5,77.0
2019,Summer_Playoffs,Team Flash.Vietnam,Stark,11,4,7,36.4,2.64,4.18,4.82,1.78,254.0,7.91,12.7,394.0,55.4,19.6,21.7,5,"Aatrox, Renekton, Camille",17,514.0,9.83,10.5,77.0
2019,Summer_Playoffs,Team Flash.Vietnam,Yijin,11,4,7,36.4,3.18,3.64,7.18,2.85,167.45,5.21,11.1,345.0,77.0,23.6,19.0,4,"Nidalee, Sylas, Sejuani",17,514.0,9.83,10.5,77.0
2019,Summer_Playoffs,Team Flash.Vietnam,Hinn,8,4,4,50.0,0.63,2.63,9.63,3.9,34.13,1.06,8.3,257.0,68.9,4.2,13.7,7,"Morgana, Nautilus, Rakan",17,514.0,9.83,10.5,77.0
2019,Summer_Playoffs,Team Flash.Vietnam,Slayder,8,2,6,25.0,4.75,3.13,3.0,2.48,312.25,9.65,14.7,456.0,66.0,40.4,25.7,3,"Kai'Sa, Xayah, Lucian",17,514.0,9.83,10.5,77.0
2019,Summer_Playoffs,Team Flash.Vietnam,Artemis,3,2,1,66.7,5.33,4.67,4.33,2.07,264.0,8.38,13.8,437.0,53.7,29.6,22.5,3,"Kai'Sa, Lucian, Xayah",17,514.0,9.83,10.5,77.0
2019,Summer_Playoffs,Team Flash.Vietnam,CBL,3,0,3,0.0,0.67,5.67,6.0,1.18,43.0,1.35,7.1,224.0,69.0,6.9,13.3,2,"Nautilus, Gragas",17,514.0,9.83,10.5,77.0
2020,Spring_Promotion,Adonis Esports,BioB,10,6,4,60.0,1.4,3.4,9.1,3.09,31.2,0.98,7.7,241.0,63.6,8.5,13.1,6,"Leona, Thresh, Galio",18,484.0,10.02,11.14,78.1
2020,Spring_Promotion,Adonis Esports,PHT,10,6,4,60.0,4.6,3.5,5.8,2.97,266.1,8.36,13.1,412.0,63.0,27.9,22.4,9,"Yasuo, Syndra, Ezreal",18,484.0,10.02,11.14,78.1
2020,Spring_Promotion,Adonis Esports,vit,10,6,4,60.0,5.1,2.6,5.5,4.08,309.5,9.73,14.5,456.0,64.2,30.9,24.9,6,"Lucian, Tristana, Ezreal",18,484.0,10.02,11.14,78.1
2020,Spring_Promotion,Adonis Esports,Y1,10,6,4,60.0,2.9,3.8,7.6,2.76,165.8,5.21,10.5,329.0,63.6,17.6,17.9,6,"Elise, Rek'Sai, Olaf",18,484.0,10.02,11.14,78.1
2020,Spring_Promotion,Adonis Esports,CHP,9,6,3,66.7,2.56,2.33,6.11,3.71,265.0,8.18,12.9,398.0,51.3,15.1,21.5,8,"Gangplank, Ornn, Mordekaiser",18,484.0,10.02,11.14,78.1
2020,Spring_Promotion,Adonis Esports,Django,1,0,1,0.0,2.0,4.0,3.0,1.25,206.0,7.72,10.2,383.0,38.5,15.4,23.3,1,Kayle,18,484.0,10.02,11.14,78.1
2020,Spring_Promotion,CERBERUS Esports (Vietnamese Team),LL,6,6,0,100.0,6.17,1.17,5.5,10.0,260.17,8.89,13.8,472.0,58.8,31.1,24.1,4,"Aatrox, Irelia, Ryze",18,484.0,10.02,11.14,78.1
2020,Spring_Promotion,CERBERUS Esports (Vietnamese Team),RonOP,6,6,0,100.0,0.5,1.5,11.67,8.11,34.0,1.16,7.2,247.0,61.3,2.5,12.6,2,"Leona, Nautilus",18,484.0,10.02,11.14,78.1
2020,Spring_Promotion,CERBERUS Esports (Vietnamese Team),XuHao,6,6,0,100.0,4.0,2.33,7.67,5.0,152.33,5.21,10.4,356.0,58.8,20.2,18.2,2,"Rek'Sai, Elise",18,484.0,10.02,11.14,78.1
2020,Spring_Promotion,CERBERUS Esports (Vietnamese Team),Yado,6,6,0,100.0,4.33,1.17,8.67,11.14,252.5,8.63,12.2,418.0,65.5,21.8,21.3,5,"Ryze, Orianna, Rumble",18,484.0,10.02,11.14,78.1
2020,Spring_Promotion,CERBERUS Esports (Vietnamese Team),Zeldris,4,4,0,100.0,5.0,1.0,5.75,10.75,300.5,9.98,13.8,459.0,53.8,25.0,23.6,2,"Kai'Sa, Lucian",18,484.0,10.02,11.14,78.1
2020,Spring_Promotion,CERBERUS Esports (Vietnamese Team),Artemis,2,2,0,100.0,4.5,2.0,8.5,6.5,276.5,10.02,13.4,484.0,66.7,23.1,24.4,2,"Xayah, Kai'Sa",18,484.0,10.02,11.14,78.1
2020,Spring_Promotion,QTV Gaming,Genza,12,4,8,33.3,2.5,3.67,5.5,2.18,246.08,8.15,11.4,379.0,59.3,18.5,21.7,9,"Ryze, Tristana, Syndra",18,484.0,10.02,11.14,78.1
2020,Spring_Promotion,QTV Gaming,Hiro,12,4,8,33.3,4.08,3.67,3.75,2.14,271.42,8.99,12.6,418.0,58.0,30.2,23.9,6,"Camille, Irelia, Aatrox",18,484.0,10.02,11.14,78.1
2020,Spring_Promotion,QTV Gaming,Jisoo,12,4,8,33.3,4.0,2.67,4.58,3.22,262.5,8.7,12.5,415.0,63.6,29.6,23.7,5,"Lucian, Kai'Sa, Kalista",18,484.0,10.02,11.14,78.1
2020,Spring_Promotion,QTV Gaming,Zodiac,12,4,8,33.3,0.83,4.33,7.75,1.98,36.5,1.21,7.1,234.0,63.6,6.2,13.4,6,"Leona, Braum, Alistar",18,484.0,10.02,11.14,78.1
2020,Spring_Promotion,QTV Gaming,Kaiz,11,4,7,36.4,2.18,3.91,6.82,2.3,142.73,4.7,9.2,303.0,63.9,15.5,17.2,7,"Lee Sin, Jarvan IV, Gragas",18,484.0,10.02,11.14,78.1
2020,Spring_Promotion,QTV Gaming,Ciel,1,0,1,0.0,1.0,3.0,3.0,1.33,164.0,5.86,8.4,299.0,57.1,14.3,18.7,1,Lee Sin,18,484.0,10.02,11.14,78.1
2020,Spring_Promotion,Super Guy Destroys,Mature,8,2,6,25.0,2.75,3.25,4.75,2.31,235.5,7.87,11.6,387.0,47.2,17.3,21.7,5,"Jax, Renekton, Akali",18,484.0,10.02,11.14,78.1
2020,Spring_Promotion,Super Guy Destroys,Kati,8,2,6,25.0,4.25,3.0,6.38,3.54,252.0,8.42,12.5,417.0,66.9,26.8,23.4,6,"Ryze, Yasuo, Orianna",18,484.0,10.02,11.14,78.1
2020,Spring_Promotion,Super Guy Destroys,Style,8,2,6,25.0,4.0,4.5,4.88,1.97,255.25,8.53,12.5,417.0,55.9,25.2,23.4,5,"Tristana, Lucian, Syndra",18,484.0,10.02,11.14,78.1
2020,Spring_Promotion,Super Guy Destroys,Tear,8,2,6,25.0,1.0,4.13,8.25,2.24,30.75,1.03,7.1,236.0,58.3,6.3,13.2,5,"Galio, Leona, Poppy",18,484.0,10.02,11.14,78.1
2020,Spring_Promotion,Super Guy Destroys,DK,6,2,4,33.3,3.33,4.67,9.17,2.68,131.0,4.45,9.5,324.0,78.1,20.8,18.2,4,"Gragas, Lee Sin, Elise",18,484.0,10.02,11.14,78.1
2020,Spring_Promotion,Super Guy Destroys,TL,2,0,2,0.0,5.5,2.5,6.5,4.8,142.0,4.5,10.1,321.0,77.4,35.5,18.2,2,"Rek'Sai, Lee Sin",18,484.0,10.02,11.14,78.1
2020,Spring_Season,CERBERUS Esports (Vietnamese Team),Artemis,34,17,17,50.0,4.24,2.65,6.41,4.02,305.76,9.98,14.2,463.0,71.0,28.2,25.9,10,"Miss Fortune, Aphelios, Xayah",137,463.0,9.98,7.84,74.5
2020,Spring_Season,CERBERUS Esports (Vietnamese Team),Ronop,34,17,17,50.0,1.09,2.74,9.18,3.75,31.24,1.02,7.4,240.0,68.4,7.3,13.4,10,"Thresh, Leona, Taric",137,463.0,9.98,7.84,74.5
2020,Spring_Season,CERBERUS Esports (Vietnamese Team),Xuhao,34,17,17,50.0,2.71,3.26,8.09,3.31,150.21,4.9,9.9,324.0,72.0,18.0,18.1,10,"Jarvan IV, Elise, Rek'Sai",137,463.0,9.98,7.84,74.5
2020,Spring_Season,CERBERUS Esports (Vietnamese Team),Yado,34,17,17,50.0,4.18,2.56,5.53,3.79,239.53,7.82,11.8,387.0,64.7,27.8,21.7,13,"Zoe, Orianna, Akali",137,463.0,9.98,7.84,74.5
2020,Spring_Season,CERBERUS Esports (Vietnamese Team),LL,29,16,13,55.2,3.0,3.38,6.21,2.72,223.97,7.32,11.4,373.0,57.3,18.7,20.6,8,"Renekton, Mordekaiser, Ornn",137,463.0,9.98,7.84,74.5
2020,Spring_Season,CERBERUS Esports (Vietnamese Team),yT,5,1,4,20.0,1.6,3.8,4.6,1.63,227.0,7.36,11.2,365.0,70.5,18.2,22.5,4,"Gangplank, Sylas, Aatrox",137,463.0,9.98,7.84,74.5
2020,Spring_Season,Dashing Buffalo,Bigkoro,34,14,20,41.2,2.5,2.26,5.29,3.44,234.71,7.73,11.7,385.0,63.2,20.3,22.6,7,"Senna, Aphelios, Miss Fortune",137,463.0,9.98,7.84,74.5
2020,Spring_Season,Dashing Buffalo,Naul,34,14,20,41.2,2.65,1.88,4.53,3.81,248.38,8.18,11.3,373.0,58.2,21.5,21.9,12,"Rumble, Zoe, Ryze",137,463.0,9.98,7.84,74.5
2020,Spring_Season,Dashing Buffalo,Meliodas,26,11,15,42.3,2.65,2.77,6.35,3.25,168.5,5.52,10.1,332.0,70.3,20.7,19.3,8,"Elise, Lee Sin, Trundle",137,463.0,9.98,7.84,74.5
2020,Spring_Season,Dashing Buffalo,Hasmed,23,11,12,47.8,4.48,3.96,3.87,2.11,239.87,7.86,12.1,396.0,60.0,32.2,22.7,13,"Mordekaiser, Akali, Irelia",137,463.0,9.98,7.84,74.5
2020,Spring_Season,Dashing Buffalo,H3,17,7,10,41.2,0.35,3.0,5.41,1.92,38.71,1.24,7.0,224.0,50.3,3.1,13.2,5,"Tahm Kench, Braum, Leona",137,463.0,9.98,7.84,74.5
2020,Spring_Season,Dashing Buffalo,Hinn,17,7,10,41.2,0.65,3.29,7.59,2.5,69.12,2.34,7.4,249.0,62.5,4.9,14.6,8,"Tahm Kench, Nautilus, Thresh",137,463.0,9.98,7.84,74.5
2020,Spring_Season,Dashing Buffalo,Pun,11,3,8,27.3,3.27,3.45,2.45,1.66,213.09,7.11,10.5,352.0,63.6,36.4,21.6,6,"Ornn, Sett, Mordekaiser",137,463.0,9.98,7.84,74.5
2020,Spring_Season,Dashing Buffalo,Dk,8,3,5,37.5,2.38,3.0,5.5,2.63,157.13,5.29,9.4,317.0,73.3,22.1,19.0,6,"Rek'Sai, Jarvan IV, Olaf",137,463.0,9.98,7.84,74.5
2020,Spring_Season,EVOS Esports,Bie,36,19,17,52.8,0.67,2.5,8.17,3.53,33.47,1.06,7.4,234.0,65.4,4.9,13.1,10,"Braum, Thresh, Morgana",137,463.0,9.98,7.84,74.5
2020,Spring_Season,EVOS Esports,Divkid,36,19,17,52.8,4.97,2.33,4.67,4.13,306.94,9.73,14.2,449.0,71.4,36.8,25.1,10,"Miss Fortune, Aphelios, Xayah",137,463.0,9.98,7.84,74.5
2020,Spring_Season,EVOS Esports,Sorn,36,19,17,52.8,2.5,2.44,7.56,4.11,173.53,5.5,10.7,338.0,74.5,18.5,18.9,10,"Jarvan IV, Lee Sin, Rek'Sai",137,463.0,9.98,7.84,74.5
2020,Spring_Season,EVOS Esports,Pake,34,19,15,55.9,2.47,1.85,6.29,4.73,273.62,8.71,12.2,388.0,63.1,17.8,21.6,12,"Syndra, Cassiopeia, Orianna",137,463.0,9.98,7.84,74.5
2020,Spring_Season,EVOS Esports,TH,26,12,14,46.2,3.31,3.38,4.15,2.2,257.38,8.08,12.4,389.0,55.7,24.7,22.0,9,"Mordekaiser, Vladimir, Sett",137,463.0,9.98,7.84,74.5
2020,Spring_Season,EVOS Esports,But1,12,7,5,58.3,1.92,2.67,4.92,2.56,227.75,7.28,11.2,357.0,53.9,15.1,19.8,5,"Renekton, Ornn, Sett",137,463.0,9.98,7.84,74.5
2020,Spring_Season,FTV Esports,Kuroko,34,9,25,26.5,2.62,3.88,5.44,2.08,150.5,4.94,11.22,363.02,67.5,21.9,19.84,19,"Elise, Lee Sin, Nidalee",137,463.0,9.98,7.84,74.5
2020,Spring_Season,FTV Esports,Police,33,9,24,27.3,2.91,2.7,4.94,2.91,267.0,8.8,11.22,363.02,65.1,24.1,19.84,9,"Lucian, Kalista, Miss Fortune",137,463.0,9.98,7.84,74.5
2020,Spring_Season,FTV Esports,Rika,30,8,22,26.7,2.83,3.77,4.9,2.05,228.67,7.4,11.22,363.02,65.5,24.0,19.84,14,"Ornn, Sett, Gangplank",137,463.0,9.98,7.84,74.5
2020,Spring_Season,FTV Esports,Victory,25,6,19,24.0,3.0,4.4,4.44,1.69,236.04,7.48,11.22,363.02,59.8,24.1,19.84,14,"Ryze, Sylas, Syndra",137,463.0,9.98,7.84,74.5
2020,Spring_Season,FTV Esports,1Ground,21,7,14,33.3,0.81,3.62,7.38,2.26,28.81,0.94,7.1,232.0,61.6,6.1,13.4,9,"Braum, Tahm Kench, Blitzcrank",137,463.0,9.98,7.84,74.5
2020,Spring_Season,FTV Esports,Froggy,13,4,9,30.8,2.0,3.69,5.69,2.08,191.0,6.75,11.22,363.02,65.4,17.0,19.84,10,"Ornn, Kled, Diana",137,463.0,9.98,7.84,74.5
2020,Spring_Season,FTV Esports,Akeno,9,2,7,22.2,1.33,4.11,4.56,1.43,27.0,0.94,11.22,363.02,58.9,13.3,19.84,6,"Nautilus, Taric, Tahm Kench",137,463.0,9.98,7.84,74.5
2020,Spring_Season,FTV Esports,Potm,5,0,5,0.0,1.2,4.2,2.8,0.95,161.8,5.12,9.3,293.0,51.3,15.4,17.6,5,"Lee Sin, Rek'Sai, Jarvan IV",137,463.0,9.98,7.84,74.5
2020,Spring_Season,GAM Esports,Dia1,32,27,5,84.4,7.16,1.97,6.69,7.03,241.56,8.39,13.2,457.0,67.6,35.0,23.6,10,"Syndra, Pantheon, Lucian",137,463.0,9.98,7.84,74.5
2020,Spring_Season,GAM Esports,Levi,32,27,5,84.4,4.47,1.75,9.25,7.84,175.84,6.11,11.0,384.0,67.0,21.8,19.8,14,"Lee Sin, Qiyana, Elise",137,463.0,9.98,7.84,74.5
2020,Spring_Season,GAM Esports,Palette,32,27,5,84.4,1.22,2.38,12.25,5.67,50.81,1.76,7.9,274.0,65.8,6.0,14.1,12,"Tahm Kench, Yuumi, Braum",137,463.0,9.98,7.84,74.5
2020,Spring_Season,GAM Esports,Blazes,28,24,4,85.7,3.71,2.14,7.93,5.43,231.21,8.07,12.0,418.0,58.0,18.5,21.6,11,"Aphelios, Senna, Varus",137,463.0,9.98,7.84,74.5
2020,Spring_Season,GAM Esports,Kiaya,24,20,4,83.3,3.42,2.29,6.83,4.47,219.46,7.66,11.3,394.0,52.1,17.4,20.4,9,"Sett, Mordekaiser, Ornn",137,463.0,9.98,7.84,74.5
2020,Spring_Season,GAM Esports,Zeros,8,7,1,87.5,5.0,3.38,5.75,3.19,250.5,8.57,12.7,434.0,47.0,21.9,22.2,6,"Aatrox, Irelia, Sett",137,463.0,9.98,7.84,74.5
2020,Spring_Season,GAM Esports,Hieu3,3,2,1,66.7,4.0,3.33,7.0,3.3,245.0,7.97,12.7,412.0,47.8,17.4,21.7,3,"Miss Fortune, Ezreal, Aphelios",137,463.0,9.98,7.84,74.5
2020,Spring_Season,GAM Esports,Easylove,1,1,0,100.0,6.0,3.0,7.0,4.33,242.0,8.98,12.1,448.0,54.2,25.0,22.2,1,Miss Fortune,137,463.0,9.98,7.84,74.5
2020,Spring_Season,Team Flash.Vietnam,CBL,36,22,14,61.1,0.86,3.14,8.56,3.0,34.44,1.13,7.4,243.0,63.7,5.8,13.2,8,"Braum, Nautilus, Thresh",137,463.0,9.98,7.84,74.5
2020,Spring_Season,Team Flash.Vietnam,Kati,36,22,14,61.1,3.22,2.56,5.08,3.25,259.78,8.51,12.3,403.0,56.2,21.8,22.0,12,"Ryze, Syndra, Lucian",137,463.0,9.98,7.84,74.5
2020,Spring_Season,Team Flash.Vietnam,Slayder,36,22,14,61.1,4.81,2.36,4.22,3.82,293.11,9.6,13.8,452.0,61.1,32.5,24.6,9,"Miss Fortune, Kalista, Xayah",137,463.0,9.98,7.84,74.5
2020,Spring_Season,Team Flash.Vietnam,Yijin,36,22,14,61.1,3.14,3.36,6.28,2.8,175.69,5.75,10.7,352.0,63.7,21.2,19.2,11,"Olaf, Rek'Sai, Qiyana",137,463.0,9.98,7.84,74.5
2020,Spring_Season,Team Flash.Vietnam,Yoshino,36,22,14,61.1,2.75,2.69,5.72,3.14,235.69,7.72,11.8,385.0,57.3,18.6,21.0,10,"Kennen, Ornn, Fiora",137,463.0,9.98,7.84,74.5
2020,Spring_Season,Team Secret (Vietnamese Team),Celebrity,34,20,14,58.8,4.97,2.03,5.09,4.96,255.29,8.26,13.3,430.0,69.5,34.3,24.2,9,"Aphelios, Miss Fortune, Senna",137,463.0,9.98,7.84,74.5
2020,Spring_Season,Team Secret (Vietnamese Team),DNK,34,20,14,58.8,3.32,2.53,6.97,4.07,169.94,5.5,10.8,349.0,71.1,23.0,19.6,13,"Olaf, Lee Sin, Shyvana",137,463.0,9.98,7.84,74.5
2020,Spring_Season,Team Secret (Vietnamese Team),Venus,31,18,13,58.1,0.84,2.87,8.52,3.26,48.0,1.54,7.8,249.0,64.0,5.7,14.0,10,"Thresh, Braum, Nautilus",137,463.0,9.98,7.84,74.5
